DynCount,FuncCount,DecCount,DynFunc,FuncDec,DynDec,Relatedness
13,6,0,1,0,0,1
0,1,1,0,1,0,1
2,51,0,1,0,0,1
0,13,3,0,1,0,1
2,2,0,1,0,0,1
1,0,0,0,0,0,0
15,35,6,1,1,1,1
9,12,4,1,1,1,1
1,0,1,0,0,1,1
1,4,1,1,1,1,1
5,2,0,1,0,0,1
0,0,6,0,0,0,0
0,2,1,0,1,0,1
114,246,38,1,1,1,1
1,5,1,1,1,1,1
78,22,1,1,1,1,1
0,0,4,0,0,0,0
1,0,12,0,0,1,1
0,4,0,0,0,0,0
33,19,15,1,1,1,1
0,1,0,0,0,0,0
1,9,70,1,1,1,1
0,3,0,0,0,0,0
86,133,18,1,1,1,1
0,0,2,0,0,0,0
1,0,2,0,0,1,1
0,3,1,0,1,0,1
0,2,0,0,0,0,0
0,2,5,0,1,0,1
4,7,46,1,1,1,1
264,758,298,1,1,1,1
0,10,4,0,1,0,1
0,13,0,0,0,0,0
3,5,0,1,0,0,1
48,38,183,1,1,1,1
11,17,20,1,1,1,1
0,1,0,0,0,0,0
13,66,9,1,1,1,1
1,30,27,1,1,1,1
0,6,2,0,1,0,1
0,24,0,0,0,0,0
23,87,107,1,1,1,1
3,8,9,1,1,1,1
459,649,169,1,1,1,1
0,1,0,0,0,0,0
5,7,9,1,1,1,1
1,4,10,1,1,1,1
0,1,0,0,0,0,0
0,1,0,0,0,0,0
26,72,295,1,1,1,1
0,0,2,0,0,0,0
1219,1813,1408,1,1,1,1
419,5558,2811,1,1,1,1
7,12,11,1,1,1,1
11,36,0,1,0,0,1
0,0,7,0,0,0,0
12,5,1,1,1,1,1
10,7,6,1,1,1,1
22,66,14,1,1,1,1
547,1721,1084,1,1,1,1
1,0,0,0,0,0,0
0,7,0,0,0,0,0
26,101,32,1,1,1,1
3,25,59,1,1,1,1
32,71,57,1,1,1,1
0,2,1,0,1,0,1
20,24,43,1,1,1,1
0,20,36,0,1,0,1
0,1,0,0,0,0,0
3,0,7,0,0,1,1
0,5,0,0,0,0,0
1,46,27,1,1,1,1
0,5,4,0,1,0,1
4,16,3,1,1,1,1
13,5,28,1,1,1,1
0,1,0,0,0,0,0
0,20,0,0,0,0,0
0,15,22,0,1,0,1
1,29,0,1,0,0,1
0,13,0,0,0,0,0
0,0,4,0,0,0,0
1255,1863,1507,1,1,1,1
0,15,0,0,0,0,0
