"Organization","DynCount","FuncCount","DecCount"
amilstead,"0","1","2"
amineHorseman,"1","3","1"
AminMahpour,"0","14","1"
amirgeva,"3","20","25"
amirouche,"3","44","6"
amitbeka,"0","5","1"
amitsela,"22","204","107"
amitu,"8","5","19"
amiv-eth,"9","45","31"
amiyapatanaik,"0","6","4"
amjith,"0","4","1"
aml-development,"21","113","81"
AMLab-Amsterdam,"0","68","6"
AmmsA,"2","4","2"
amol-,"30","19","79"
amol-mandhane,"6","15","3"
amol9,"21","105","83"
amolenaar,"75","122","31"
amonapp,"1","53","70"
amonszpart,"0","1","3"
amorison,"0","8","1"
amorton,"0","4","13"
ampedandwired,"1","1","5"
amperka,"2","8","9"
amperser,"2","17","184"
ampl,"0","26","15"
amplab,"0","60","37"
amplifylitco,"12","94","92"
ampotos,"6","24","1"
ampotty,"0","5","6"
ampproject,"0","16","23"
amsehili,"0","1","15"
amsjavan,"11","17","1"
amurzeau,"0","12","9"
amvtek,"35","14","4"
amznlabs,"12","125","40"
ana-balica,"10","12","10"
Anaconda-Platform,"20","33","93"
anaderi,"0","19","4"
analogdevicesinc,"34","115","5"
AnalogJ,"10","194","16"
analyseuc3m,"221","461","546"
analysiscenter,"23","107","176"
analyst-collective,"18","74","392"
anandology,"85","53","46"
anarcoder,"0","12","10"
anaruse,"133","474","83"
anassinator,"0","7","8"
AnatoliiPotapov,"0","42","1"
anatolikalysch,"1","33","36"
anbc,"0","7","1"
AnCh7,"5","16","2"
anchore,"35","254","220"
ancillarymagnet,"0","1","3"
and3rson,"19","22","10"
andela,"13","22","45"
andela-sjames,"9","10","20"
andelf,"35","1","10"
andersbll,"10","76","47"
andersinno,"24","51","70"
andersroos,"16","67","46"
AnderssonPeter,"0","1","4"
AndGem,"0","9","6"
andialbrecht,"7","90","11"
andikleen,"5","15","16"
andmatand,"3","10","21"
andrea-cuttone,"0","14","4"
andreafrancia,"3","77","86"
andreamad8,"0","68","12"
AndreaOrru,"4","9","51"
andreas-p,"77","12","54"
AndreasMadsen,"2","20","2"
andreasvc,"2","73","3"
andreasWallner,"3","11","1"
andreax79,"12","5","3"
andrecunha,"6","145","18"
andreffs18,"0","2","15"
andrei-shabanski,"3","5","2"
AndreiBarsan,"0","6","7"
AndreiDrang,"0","2","31"
andreif,"1","10","2"
andreikop,"18","138","39"
andreimaximov,"0","63","3"
andreisavu,"3","13","20"
AndrejMaris,"0","13","8"
andrelucas,"7","10","6"
AndreMiras,"0","15","4"
andrenarchy,"0","30","1"
andrepl,"4","6","5"
andreroggeri,"0","2","1"
andresberejnoi,"0","5","1"
andresriancho,"0","81","7"
AndrewAnnex,"0","3","9"
andrewchambers,"2","31","7"
andrewdarmawan,"2","9","3"
andrewdodd,"3","2","11"
andrewebdev,"21","15","4"
andrewerrington,"0","4","3"
andrewf,"5","9","4"
andrewgodwin,"4","8","13"
andrewjrobinson,"4","6","16"
andrewjw,"0","9","1"
AndrewPashkin,"4","17","9"
