"Organization","DynCount","FuncCount","DecCount"
altosaar,"4","67","9"
altre,"1","1","0"
AltSchool,"51","19","11"
aluminiumgeek,"27","14","6"
AlvarBer,"4","21","6"
alvarogzp,"2","24","140"
alvarouc,"2","10","0"
alvations,"3","41","0"
alviano,"7","59","0"
AlvinJian,"1","5","0"
alvinwan,"12","49","17"
alviproject,"4","25","108"
alx,"1","5","0"
alyptik,"2","16","21"
alyvix,"8","32","1"
amadeusproject,"40","18","24"
amahabal,"13","108","80"
Amaimersion,"1","7","10"
amamchur,"1","1","0"
amancevice,"5","69","42"
amarquand,"11","4","12"
amathelier,"3","7","0"
Amathlog,"1","2","0"
ambitioninc,"37","117","37"
amboar,"3","51","2"
ambrop72,"1","22","0"
Ambrosys,"14","96","27"
amcat,"110","587","216"
amdean,"1","6","35"
AMDmi3,"15","242","21"
ameerbadri,"3","11","9"
Amelandbor,"1","1","0"
ament,"10","143","2"
Ameriks,"17","35","28"
amey-sam,"1","9","6"
amici-ursi,"3","26","12"
amicks,"3","20","2"
amineHorseman,"1","3","1"
amirgeva,"3","20","25"
amirouche,"3","45","8"
amitdev,"1","3","0"
amitkaps,"2","6","0"
amitkhanna15,"1","1","0"
amitsela,"22","204","107"
amitu,"8","5","19"
amiv-eth,"9","45","31"
amkozlov,"2","4","0"
aml-development,"21","113","81"
ammongit,"4","19","2"
AmmsA,"2","4","2"
amnong,"1","2","0"
amoffat,"1","11","0"
amol-,"36","19","80"
amol-mandhane,"6","15","3"
amol9,"21","105","83"
amolenaar,"75","122","31"
amonapp,"1","53","70"
ampedandwired,"1","1","5"
amperka,"2","8","9"
amplifylitco,"12","98","92"
ampotos,"6","24","1"
amscanne,"10","7","0"
amsjavan,"11","17","1"
amueller,"23","114","0"
amvtek,"35","14","4"
amyth,"6","3","0"
amznlabs,"12","125","40"
ana-balica,"10","12","10"
Anaconda-Platform,"20","33","93"
analogdevicesinc,"34","115","5"
AnalogJ,"10","194","16"
