"Organization","DynCount","FuncCount","DecCount"
intermine,"1","19","5"
iReivax1,"27","56","171"
isnowfy,"4","25","8"
IsraaAhmad,"1689","2550","2205"
iterative,"65","486","559"
ithansiyeon,"1038","2365","935"
itsadityaxd,"7","8","0"
ivre,"56","517","514"
j4rj4r,"2","2","0"
jacebrowning,"1","4","4"
jacobfelknor,"1","13","0"
jadonk,"1","1","0"
jair001,"381","297","388"
jareddantis,"9","15","5"
jarun,"31","49","1"
Jaseci-Labs,"222","10","6"
jasperproject,"8","50","48"
Javascript-void0,"1","14","0"
jazzband,"66","76","96"
jbarlow83,"20","81","141"
jbemmel,"14","34","70"
jbogaardt,"18","34","11"
jbold569,"3","3","2"
jcgonzalezb,"3","0","0"
jcnazareno18,"146","109","50"
jconstancio,"262","218","371"
jedi-gg,"5","3","3"
jediwirr,"158","120","77"
jeffreykirchner,"3","50","46"
jesse-c,"3","18","5"
Jetsurf,"1","22","8"
Jgoschke86,"8","73","88"
jhliu17,"2","8","45"
jiaaro,"4","27","37"
jihun-yoon,"3","4","5"
jina-ai,"231","662","511"
jindongwang,"12","124","15"
jisaacks,"4","51","14"
jliljebl,"72","455","0"
jmura84,"618","1075","723"
jnj,"1","12","20"
joankirui,"966","1462","1175"
joelgrus,"4","596","1"
jofpin,"21","8","10"
jonathadv,"1","0","0"
JonathanCasey,"5","78","33"
jonsag,"1","5","0"
jopohl,"101","400","669"
jorgebastida,"2","15","0"
jorisschellekens,"8","542","56"
jotate70,"12","92","9"
jouleSoft,"3","18","5"
jpadilla,"6","4","74"
jrnl-org,"42","55","58"
Jrohy,"1","2","0"
jsleeg98,"32","92","13"
juan45202,"826","1288","1026"
juanescorreap,"2","0","0"
juanstm200,"24","0","0"
juhuio2003,"3","113","3"
jujutsunanami,"4","11","1"
julianramirezch,"1","11","10"
jumpserver,"87","90","298"
JunMa11,"2","31","3"
jupyter-naas,"2","5","27"
jupyterhub,"81","183","173"
Just-Jojo,"21","36","15"
just1ngray,"18","138","26"
Justin-Sawyer,"323","360","570"
JustinSDK,"2","33","0"
JWock82,"1","17","0"
jwyang,"6","110","10"
jyoonab,"20","17","13"
kaal0408,"10","19","214"
kadalu,"7","13","23"
Kaggle,"53","62","57"
Karaage-Cluster,"56","31","170"
KawamitsuGo,"682","594","686"
kayoyin,"2","14","18"
keithito,"1","25","13"
kekevi,"826","1288","1026"
keras-rl,"28","50","28"
keras-team,"518","1666","594"
kevin218,"68","53","7"
kevinfjiang,"9","10","16"
keyu-tian,"6","39","3"
khiner,"1","50","23"
killer415tv,"3","41","6"
KIM-KYOUNG-OH,"1","75","0"
kingraphaii,"1","7","3"
Kinto,"48","177","163"
kiriharu,"1","0","4"
kitconcept,"4","0","0"
KitDaCatsun,"6","13","10"
Kittipob-K,"12","0","0"
kittydepa,"624","982","717"
kivy,"50","95","87"
kiwi-sherbet,"1","7","0"
kjaffel,"28","480","9"
KKKSQJ,"28","119","24"
kkroening,"1","29","18"
klomery,"3","113","3"
knight2217,"1529","1697","1476"
Kodi-vStream,"39","18","0"
KovalovV,"2","7","6"
kovidgoyal,"2432","4111","1506"
Kozea,"64","196","48"
krentzd,"14","72","71"
kreyoo,"4","3","14"
krishnaglodha,"625","966","693"
kronusdev,"1","153","323"
krzysztof-grzegrzulka,"621","1073","734"
ktbyers,"7","29","26"
kubeflow,"232","257","291"
kubernetes-client,"2551","1278","2738"
kwlee0220,"1","38","78"
kz26,"12","13","46"
lablup,"11","111","311"
Lainshower,"585","905","701"
lalrochhara,"40","42","243"
lamiaah,"7","50","1"
lancopku,"1","4","6"
lanpa,"17","78","39"
lars-frogner,"1","41","1"
Lasagne,"47","136","2"
latticesurgery-com,"2","35","34"
LaVita-GmbH,"32","23","17"
layday,"5","148","76"
lazyprogrammer,"2","365","13"
lbryio,"72","716","780"
lcdevelop,"3","23","0"
lcls-psana,"13","108","17"
LeagueOfFreeWorlds,"12","0","0"
learningequality,"239","496","347"
learningmatter-mit,"1","8","0"
lebinh,"2","9","0"
LEGEND-LX,"6","72","13"
LeoCx1000,"15","49","2"
lexicalunit,"47","88","81"
lexuansanh,"7","33","8"
lhotse-speech,"3","398","227"
libertarian-senthil,"9","0","0"
Lihsayuri,"246","143","118"
lijiejie,"1","8","0"
LimeOnTop,"197","174","63"
Linfeng-Lee,"1","1","0"
Linhatran,"3259","8064","4028"
linkmodel,"1","16","0"
