"Project","DynCount","FuncCount","DecCount"
dlkit,"2","6","15"
dma-bmi-bot,"0","3","4"
dna,"1","38","78"
dnss-blocklists,"0","2","2"
do-prace-na-kole,"25","131","17"
doccano,"20","60","70"
docker-py,"22","110","123"
Docker-Python-Git-App,"0","0","5"
docker-stacks,"0","7","31"
docopt,"0","1","2"
Document-Reduction,"56","64","9"
dododo,"0","9","2"
dojos_and_ninjas,"0","0","4"
Dojo_Survey,"0","0","3"
dojo_survey_with_validation,"0","0","3"
domdf_python_tools,"28","58","75"
DongTai-openapi,"0","5","3"
DOS,"1689","2550","2205"
dotFiles,"48","170","224"
DouZero_For_HLDDZ_FullAuto,"0","45","5"
dragaliagg,"5","3","3"
Drama,"13","112","358"
drinks-touch,"2","9","41"
drozer,"10","78","73"
DrQA,"1","96","6"
DSA,"0","241","12"
dsa4266grp3,"40","133","13"
DSAD,"0","10","6"
dsc-dashboard,"0","1","1"
Dshell,"6","29","23"
DSP_Team8,"0","1","4"
DTMF,"0","0","3"
duckbot,"3","35","24"
duployan-font,"1","67","58"
dvc,"65","486","559"
dymos,"6","220","157"
dynabench,"75","282","58"
DYU_TextMining,"1230","1839","1600"
E5-bot,"58","53","166"
easychart,"3","38","6"
EasyNN,"43","23","61"
easytrader,"0","0","14"
ecchat,"0","0","2"
ecom,"0","2","4"
ecommerce,"0","25","1"
Ecommerce_Assignment,"229","182","77"
ecommerce_integrations,"8","68","17"
EDDID_CMDS,"622","1067","796"
edge-stage-flow,"0","1","5"
edgedb,"236","865","584"
edx-django-utils,"19","36","26"
edx-lint,"2","13","13"
edx-ora2,"54","236","212"
edx-platform,"995","2291","2914"
edx-program-tools,"7","1","7"
effective_python,"11","12","32"
EfficientNet-PyTorch,"1","19","10"
efficientnet-v2-keras,"0","7","4"
eht-imaging,"16","776","31"
einops,"21","37","10"
elastalert,"7","93","12"
elf_diff,"25","30","14"
eloop-scraper-backend,"10","0","7"
email_validation,"0","0","5"
emerge,"34","54","217"
EmiliaMenter,"38","28","60"
Emprero,"197","174","63"
enclave-cog,"69","64","24"
enigma2,"53","130","71"
enigma2-plugin-youtube,"9","37","11"
enigma2-plugins,"137","641","99"
enigma2-python3,"231","505","153"
enigma2-sl-release,"54","130","71"
enterprisediodeemulator,"0","43","94"
ephios,"35","118","132"
erdantic,"10","31","29"
eriksape,"14","6","1"
ernconnect,"3","46","44"
escape-fel,"13","118","14"
ESIRecruiter,"3","50","46"
espnet,"307","1391","353"
EssayKiller_V2,"68","130","41"
Essencia-Website,"623","1078","722"
EthTrade,"0","3","14"
Eureka,"68","53","7"
euterpe-gtk,"0","2","4"
evalml,"18","731","179"
evaluate,"0","2","2"
eve,"47","70","27"
event-routing-backends,"11","2","6"
events-telegram-bot,"0","4","1"
exoplanet_viewer_core,"0","6","241"
Expy-Kit,"11","58","2"
External-Attention-pytorch,"0","7","3"
ExtremeLifeServer,"0","7","9"
ezapi-tmdb,"1","4","277"
ezapi-yelp,"0","3","23"
ezdxf,"64","809","754"
fabric,"39","40","54"
facebook-sdk,"2","3","1"
facenet,"0","54","10"
face_detection_python_opencv,"638","1716","312"
Face_Forensic,"15","22","1"
factory_boy,"52","158","77"
faf-league-service,"2","17","10"
fail2ban,"99","232","145"
fairgraph,"0","15","2"
FairMOT,"31","110","11"
fairpy,"12","260","17"
fakeIDsharing,"0","3","1"
faker-bot,"2","2","6"
falcon,"54","151","133"
falconca.ca,"0","17","4"
fancywd,"0","0","3"
FARGish,"66","274","350"
FashionDatasets,"0","167","32"
FashionNets,"0","77","16"
Fast-F1,"11","27","21"
fast-rcnn,"0","4","9"
fastapi-tortoise-orm,"0","0","2"
fastcampus,"0","0","6"
faster-rcnn.pytorch,"6","110","10"
fatpat314-Poetic_Rukus_website,"867","1266","1041"
faust,"77","381","293"
fbzmq,"12","24","8"
FCR,"10","121","206"
fds-be,"0","18","31"
featherstore,"4","12","4"
featuretools,"31","440","32"
ffmpeg-python,"1","29","18"
ffsubsync,"13","26","11"
findb,"0","19","1"
findTutor,"10","11","21"
finetuner,"20","101","12"
FireDM,"22","215","51"
first,"0","7","22"
firstdjango,"146","109","50"
FixMatch-with-Soft-Labels,"1","267","31"
flask,"35","57","50"
flask-admin,"183","161","30"
flask-base,"0","2","31"
Flask-Blog-Project,"0","1","8"
flask-dream-journal,"1708","2597","2713"
flask-react-aws,"0","2","1"
flask-react-unloadFile,"902","1425","1175"
flask-restful,"19","81","2"
flask-smorest-sqlalchemy-odata,"7","11","5"
flasky,"0","8","29"
Flask_Aula_Virtual,"1","0","14"
flask_chat_prac,"27","2","1"
flask_video_stream,"0","2","1"
flcdLab2,"620","1066","796"
flectra,"189","4062","444"
flint,"0","8","3"
flipkart_clone_app,"355","297","403"
flower,"17","58","16"
FlyMeBot,"2","0","6"
fonttools,"920","1276","196"
FootballScoreAI,"0","24","45"
football_api_notif,"0","2","8"
Fortnite-Discord-Bot,"0","1","1"
Foundry,"24","53","110"
freezegun,"27","10","24"
freezer-api,"4","18","71"
freqtrade,"75","319","208"
frida,"0","52","6"
ftarc,"0","86","14"
full-stack-fastapi-postgresql,"2","5","1"
FuncNotify,"9","10","16"
fusetools,"0","122","273"
fuzzy-torch,"10","48","2"
fuzzywuzzy,"0","11","1"
fx-private-relay,"1","2","25"
FYS-STK4155-projects,"0","8","13"
galois,"52","187","171"
GALUP,"0","21","6"
Game-Bots,"0","4","6"
gamecollector,"0","0","6"
GamestonkTerminal,"72","436","397"
ganga,"634","610","411"
GAProject3-SpaceBase,"0","0","6"
garagesale,"0","0","4"
GATE,"1","21","1"
GBot-backend,"25","26","83"
GbxParser,"623","1079","721"
GeeksHubs,"618","1075","723"
gef,"9","17","13"
gene-connector,"1","31","24"
GenIce,"1","65","76"
Genshin-checkin,"0","1","5"
gensim,"98","585","75"
geostore,"1","3","7"
gestaoclientesv1,"0","0","4"
Gestion-Alpura,"867","1268","986"
gg,"0","1","1"
GIF-4101_equipe_3_projet,"1945","3910","1872"
GimelStudio,"2","11","40"
GitDemo,"1746","2568","1423"
GitGutter,"4","51","14"
github-trending,"26","82","219"
GithubTrending,"0","2","2"
gitsome,"289","437","419"
gixy,"6","38","23"
golinks2,"0","0","3"
Good-Eat-API,"0","0","7"
google-interview-preparation,"8","13","3"
GPT2-Chinese,"0","8","4"
gpustat,"1","17","18"
gradio,"1","167","35"
Graficas_Raycaster,"0","0","5"
grand-challenge.org,"52","334","313"
graphene,"49","89","110"
graphql-core,"91","349","174"
GravitySimulation,"0","8","10"
great_expectations,"217","1011","1011"
GroupMasterBot,"22","26","273"
gs-support,"0","0","1"
gspread,"1","36","32"
gunicorn,"56","53","27"
gw2_speedometer,"3","41","6"
gym,"35","198","45"
G_TAD_customizing,"0","5","3"
ha-config,"68","113","456"
HackingFuel_UBH2021,"1194","1582","5963"
hacknc21,"826","1288","1026"
HACKOHIO-HFAGT,"262","218","371"
haipproxy,"0","52","4"
hanser,"38","443","79"
haruka-rewrite,"1","17","93"
hate-speech-detection,"0","3","2"
hdh-project1,"0","20","54"
headphones,"612","919","401"
hear-preprocess,"0","42","27"
hedy,"4","32","23"
helpwestada,"3","1","11"
HierarchicalProbabilistic3DHuman,"0","20","2"
HiiperProject,"0","6","2"
hiketheplanet,"5","14","2"
histocartography,"49","67","72"
histolab,"8","43","53"
history,"200","445","357"
hmmlearn,"7","8","3"
hocort,"1","0","6"
holbertonschool-higher_level_programming,"0","11","22"
holbertonschool-web_back_end,"2","20","17"
holo,"6","40","37"
home-assistant-config,"31","92","473"
homeassistant,"70","162","530"
horoscopeMusic,"0","0","4"
horovod,"82","638","122"
Hoteles_api,"0","0","5"
hsds,"1","10","38"
hs_mercenaries_bot,"0","1","2"
http-prompt,"5","51","1"
httpie,"18","37","29"
httpx,"34","221","63"
hug,"128","46","56"
huggingface_hub,"10","94","139"
hummingbird,"39","213","31"
huntwords,"0","58","3"
HWsPart2,"4","8","8"
HXL-Data-Science-file-formats,"2","4","9"
hy,"59","84","34"
hyperopt,"35","228","82"
hypothesis,"278","1184","367"
iam-policy-validator-to-sarif,"0","4","4"
iasec-placas-raspberry-dist,"2","0","18"
ibc,"9","57","34"
ic,"19","391","42"
ICD-11-Interface,"622","1073","733"
ida-minsc,"175","773","1259"
IFT6135_A2,"0","4","3"
ignite,"137","784","173"
ihatemoney,"13","61","19"
IIMS,"0","3","7"
ImageAI,"0","67","2"
ImageClassification,"2","15","7"
imbalanced-learn,"61","90","39"
Img3Sum,"585","905","701"
imgaug,"221","871","817"
imgclsmob,"961","1908","158"
imio.zamqp.pm,"12","2","5"
immuneML,"104","701","631"
impacket,"132","154","199"
import-brain,"0","4","1"
Improved-Yolov5,"14","27","9"
Improvisation,"0","4","2"
ImSeller,"730","667","696"
indi-allsky,"7","27","12"
INE5420,"0","0","1"
INF368A,"2787","5550","3606"
infcommon3,"2","16","4"
informerdata,"1","32","2"
infra_server_kvm,"0","0","2"
inka,"0","15","26"
INR,"29","117","97"
InstaApp,"286","210","127"
instagrapi,"7","73","13"
install_we0,"473","822","673"
InstaPy,"6","46","6"
instawow,"5","148","76"
integrations-core,"840","875","428"
intelliHR-text-backend,"822","1380","1029"
inter,"2","72","1"
intermine_cloud,"1","19","5"
interview,"4","6","2"
interview-prep,"1","18","4"
intraday-market-simulator-2,"3","51","10"
IntroToArtificialIntelligenceProject,"26","25","8"
invenio-requests,"7","6","22"
inventory,"1","6","15"
ipal_transcriber,"11","14","20"
ipwndfu,"21","24","16"
ipyvue-flatsurf,"1","30","19"
iqm-client,"0","1","1"
irc_bot,"0","2","12"
iris,"9","55","107"
irrigation_component_v4,"6","0","9"
irrigation_unlimited,"0","11","115"
Isaac-drlgrasp,"4","10","7"
itez,"2","3","1"
ivre,"56","517","514"
JagVillHaVaccin,"0","20","7"
Jarvis,"0","11","10"
jaseci,"222","10","6"
jasper-client,"8","50","48"
javascripting-home-vscode,"323","360","570"
jax,"291","4352","491"
jaxdsp,"1","50","23"
Jay,"8","73","88"
JayMusic,"0","0","6"
jedi,"42","674","200"
jedi-vim,"4","12","22"
jet-bot,"1","22","8"
JetBrains_Academy,"9","198","30"
jimutmap,"0","9","6"
jina,"211","561","499"
jinja,"63","159","109"
jira,"65","44","50"
jobcodingtest,"621","1066","796"
JojoCogs,"21","36","15"
jrc,"92","169","22"
jrnl,"42","55","58"
JumpQuest,"0","14","1"
jumpserver,"87","90","298"
jungle00,"908","1512","1488"
jupyterhub,"81","183","173"
jupytext,"4","91","95"
justuse,"23","94","17"
k8s-deploy-example-demo,"747","1339","1038"
k8s-slim,"81","54","16"
kadalu,"7","13","23"
kafka-python,"71","195","147"
kaggle-api,"53","62","57"
kaggle-sartorius,"0","43","6"
Kanin,"0","4","13"
karaage,"56","31","170"
kazexpress,"219","162","335"
keep,"135","549","240"
KennedyXMusic,"0","0","3"
kepler,"3","231","15"
keras,"517","1555","549"
keras-pcb-sapd-mix,"0","28","5"
keras-rl,"28","50","28"
kingfisher-collect,"37","264","88"
kinto,"48","177","163"
kitty,"174","364","207"
knowledge-repo,"25","128","129"
kobo-annotations-exporter,"0","0","2"
kolibri,"239","496","347"
KORartilleryman,"2847","6088","2533"
kraft,"7","21","176"
ksuid-pydantic,"0","2","6"
kuryr-tempest-plugin,"0","26","78"
label-studio,"66","113","106"
labelme,"8","24","8"
lake,"0","24","1"
Lambda-Start-Stop-Aurora,"1929","3469","3021"
language_exchange,"0","0","12"
Lasagne,"47","136","2"
lastfeeder,"3","0","3"
lattice-surgery-compiler,"2","35","34"
LaZagne,"7","274","36"
lbry-sdk,"72","716","780"
lcapy,"57","145","755"
lc_python,"0","35","4"
learn-python,"0","17","3"
LearnPy,"4","50","6"
LearnQA_Python_API,"0","0","13"
learn_python3_spider,"1514","3251","1427"
